pid,process_name,avg_cpu,max_cpu,avg_memory,total_disk_write,max_write_burst,process_lifetime,label
2532,spoolsv.exe,0.0,0.0,0.2762962962962964,0,0,1224494.0,0
2560,msedge.exe,0.0,0.0,0.2154545454545454,560,224,17061.0,1
2584,svchost.exe,0.0,0.0,0.2281481481481481,0,0,1224495.0,0
2604,svchost.exe,0.0,0.0,0.52,0,0,101.0,0
2628,svchost.exe,0.0,0.0,0.0955555555555555,652,284,1224495.0,1
2640,svchost.exe,0.0,0.0,0.34,0,0,35.0,0
2732,svchost.exe,0.0,0.0,0.1,0,0,1224495.0,0
2808,svchost.exe,0.0,0.0,0.3744444444444444,0,0,1224495.0,0
2820,svchost.exe,0.0,0.0,0.2488888888888888,0,0,1224495.0,0
2828,svchost.exe,0.0,0.0,0.0718518518518518,0,0,1224496.0,0
2836,svchost.exe,0.0,0.0,0.08,0,0,1224496.0,0
2848,svchost.exe,0.0,0.0,0.3659259259259258,98304,98304,1224496.0,1
2872,svchost.exe,0.0,0.0,0.514074074074074,32960,32960,1224496.0,1
2884,svchost.exe,0.0,0.0,0.07,0,0,1224496.0,0
2900,RuntimeBroker.exe,0.0,0.0,0.38,0,0,101.0,0
2904,msedge.exe,0.0,0.0,0.3118181818181819,784,336,17062.0,1
2936,cmd.exe,0.0,0.0,0.075,0,0,432.0,0
2944,dllhost.exe,0.0,0.0,0.09,0,0,16.0,0
2948,svchost.exe,0.0,0.0,0.322,0,0,103.0,0
2956,svchost.exe,0.0,0.0,0.07,0,0,35.0,0
2960,svchost.exe,0.0,0.0,0.2592592592592593,0,0,1224496.0,0
2984,TrustedInstaller.exe,0.0,0.0,0.1,0,0,1209415.0,0
3004,msedge.exe,0.0,0.0,1.118181818181818,741798,741126,17062.0,1
3012,svchost.exe,0.0,0.0,0.1188888888888888,920,920,1224497.0,1
3052,svchost.exe,0.0,0.0,0.26,0,0,432.0,0
3076,taskhostw.exe,0.0,0.0,0.08625,0,0,1980.0,0
3080,dllhost.exe,0.0,0.0,0.09,0,0,12.0,0
3088,svchost.exe,0.0,0.0,0.1,0,0,1224497.0,0
3112,svchost.exe,0.0,0.0,0.1766666666666666,0,0,1224497.0,0
3184,svchost.exe,0.0,0.0,0.2952631578947368,0,0,26846.0,0
3220,SearchProtocolHost.exe,0.0,0.0,0.1,0,0,35.0,0
3284,msedge.exe,0.0,0.0,1.83,0,0,0.0,0
3432,msedge.exe,0.0,0.0,0.31,0,0,0.0,0
3556,MicrosoftEdgeUpdate.exe,0.0,0.0,0.05,0,0,35.0,0
3608,svchost.exe,0.0,0.0,0.14,0,0,102.0,0
3624,cmd.exe,0.0,0.0,0.1,0,0,93.0,0
3644,svchost.exe,0.0,0.0,0.09,0,0,35.0,0
3656,SkypeBackgroundHost.exe,0.0,0.0,0.1020833333333333,0,0,1209415.0,0
3684,dllhost.exe,0.0,0.0,0.137037037037037,0,0,1224498.0,0
3704,svchost.exe,0.0,0.0,0.1588461538461538,0,0,1224498.0,0
3748,svchost.exe,0.0,0.0,0.7399999999999999,0,0,35.0,0
