timestamp,pid,process_name,cpu_percent,memory_percent,disk_write_delta
2025-12-17 05:13:16,0,System Idle Process,600.0,0.0,0
2025-12-17 05:13:16,4,System,0.0,0.0,0
2025-12-17 05:13:16,124,Registry,0.0,0.74,0
2025-12-17 05:13:16,152,conhost.exe,0.0,0.28,0
2025-12-17 05:13:16,404,smss.exe,0.0,0.01,0
2025-12-17 05:13:16,448,svchost.exe,0.0,0.1,0
2025-12-17 05:13:16,496,svchost.exe,0.0,0.07,0
2025-12-17 05:13:16,516,csrss.exe,0.0,0.07,0
2025-12-17 05:13:16,592,wininit.exe,0.0,0.09,0
2025-12-17 05:13:16,664,RuntimeBroker.exe,0.0,0.43,0
2025-12-17 05:13:16,736,services.exe,0.0,0.12,0
2025-12-17 05:13:16,760,lsass.exe,0.0,0.33,0
2025-12-17 05:13:16,816,svchost.exe,0.0,0.12,0
2025-12-17 05:13:16,872,svchost.exe,0.0,0.4,0
2025-12-17 05:13:16,908,fontdrvhost.exe,0.0,0.06,0
2025-12-17 05:13:16,916,winlogon.exe,0.0,0.12,0
2025-12-17 05:13:16,996,svchost.exe,0.0,0.19,0
2025-12-17 05:13:16,1040,svchost.exe,0.0,0.15,0
2025-12-17 05:13:16,1096,svchost.exe,0.0,0.24,0
2025-12-17 05:13:16,1104,ctfmon.exe,0.0,0.27,0
2025-12-17 05:13:16,1132,svchost.exe,0.0,0.14,0
2025-12-17 05:13:16,1200,SystemSettings.exe,0.0,0.02,0
2025-12-17 05:13:16,1280,svchost.exe,0.0,0.11,0
2025-12-17 05:13:16,1316,msedge.exe,0.0,0.47,0
2025-12-17 05:13:16,1324,VBoxService.exe,0.0,0.08,0
2025-12-17 05:13:16,1368,svchost.exe,0.0,0.15,0
2025-12-17 05:13:16,1380,svchost.exe,0.0,0.09,0
2025-12-17 05:13:16,1472,svchost.exe,0.0,0.27,0
2025-12-17 05:13:16,1480,svchost.exe,0.0,0.09,0
2025-12-17 05:13:16,1520,svchost.exe,0.0,0.07,0
2025-12-17 05:13:16,1528,svchost.exe,0.0,1.04,0
2025-12-17 05:13:16,1668,svchost.exe,0.0,0.15,0
2025-12-17 05:13:16,1700,svchost.exe,0.0,0.2,0
2025-12-17 05:13:16,1712,svchost.exe,0.0,0.1,0
2025-12-17 05:13:16,1780,MemCompression,0.0,0.17,0
2025-12-17 05:13:16,1820,svchost.exe,0.0,0.15,0
2025-12-17 05:13:16,1832,svchost.exe,0.0,0.1,0
2025-12-17 05:13:16,1840,svchost.exe,0.0,0.1,0
2025-12-17 05:13:16,1868,WinStore.App.exe,0.0,0.02,0
2025-12-17 05:13:16,1872,msedge.exe,0.0,0.21,0
2025-12-17 05:13:16,1876,TextInputHost.exe,0.0,0.48,0
2025-12-17 05:13:16,1964,svchost.exe,0.0,0.12,0
2025-12-17 05:13:16,2088,svchost.exe,0.0,0.46,0
2025-12-17 05:13:16,2096,svchost.exe,0.0,0.14,0
2025-12-17 05:13:16,2120,svchost.exe,0.0,0.17,0
2025-12-17 05:13:16,2168,svchost.exe,0.0,0.13,0
2025-12-17 05:13:16,2176,taskhostw.exe,0.0,0.25,0
2025-12-17 05:13:16,2208,svchost.exe,0.0,0.07,0
2025-12-17 05:13:16,2212,audiodg.exe,0.0,0.1,0
2025-12-17 05:13:16,2248,svchost.exe,0.0,0.13,0
2025-12-17 05:13:16,2256,svchost.exe,0.0,0.1,0
2025-12-17 05:13:16,2264,svchost.exe,0.0,0.12,0
2025-12-17 05:13:16,2308,svchost.exe,0.0,0.09,0
2025-12-17 05:13:16,2320,svchost.exe,0.0,0.13,0
2025-12-17 05:13:16,2348,svchost.exe,0.0,0.28,0
2025-12-17 05:13:16,2364,svchost.exe,0.0,0.15,0
2025-12-17 05:13:16,2532,spoolsv.exe,0.0,0.31,0
2025-12-17 05:13:16,2560,msedge.exe,0.0,0.23,0
2025-12-17 05:13:16,2584,svchost.exe,0.0,0.24,0
2025-12-17 05:13:16,2628,svchost.exe,0.0,0.1,0
2025-12-17 05:13:16,2640,svchost.exe,0.0,0.34,0
2025-12-17 05:13:16,2732,svchost.exe,0.0,0.1,0
2025-12-17 05:13:16,2808,svchost.exe,0.0,0.18,0
2025-12-17 05:13:16,2820,svchost.exe,0.0,0.26,0
2025-12-17 05:13:16,2828,svchost.exe,0.0,0.08,0
2025-12-17 05:13:16,2836,svchost.exe,0.0,0.08,0
2025-12-17 05:13:16,2848,svchost.exe,0.0,0.37,0
2025-12-17 05:13:16,2872,svchost.exe,0.0,0.56,0
2025-12-17 05:13:16,2884,svchost.exe,0.0,0.07,0
2025-12-17 05:13:16,2904,msedge.exe,0.0,0.38,0
2025-12-17 05:13:16,2944,dllhost.exe,0.0,0.09,0
2025-12-17 05:13:16,2956,svchost.exe,0.0,0.07,0
2025-12-17 05:13:16,2960,svchost.exe,0.0,0.24,0
2025-12-17 05:13:16,3004,msedge.exe,0.0,1.83,0
2025-12-17 05:13:16,3012,svchost.exe,0.0,0.11,0
2025-12-17 05:13:16,3088,svchost.exe,0.0,0.1,0
2025-12-17 05:13:16,3112,svchost.exe,0.0,0.16,0
2025-12-17 05:13:16,3184,svchost.exe,0.0,0.28,0
2025-12-17 05:13:16,3220,SearchProtocolHost.exe,0.0,0.1,0
2025-12-17 05:13:16,3556,MicrosoftEdgeUpdate.exe,0.0,0.05,0
2025-12-17 05:13:16,3644,svchost.exe,0.0,0.09,0
2025-12-17 05:13:16,3684,dllhost.exe,0.0,0.14,0
2025-12-17 05:13:16,3704,svchost.exe,0.0,0.15,0
2025-12-17 05:13:16,3748,svchost.exe,0.0,0.74,0
2025-12-17 05:13:16,3768,SearchIndexer.exe,0.0,0.76,0
2025-12-17 05:13:16,3820,SearchFilterHost.exe,0.0,0.11,0
2025-12-17 05:13:16,3912,svchost.exe,0.0,0.24,0
